epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,8018.74,0.93282,0.50837,1.09554,0.95951,0.96757,0.97625,0.72385,1.02627,0.4222,1.11577,0.0032185,0.0032185,0.0032185
139,8075.27,0.95907,0.51774,1.09923,0.96049,0.96867,0.97773,0.72546,1.02598,0.42193,1.11556,0.003169,0.003169,0.003169
140,8131.77,0.94524,0.52024,1.09965,0.96132,0.96901,0.97712,0.72573,1.02526,0.42223,1.1153,0.0031195,0.0031195,0.0031195
141,8188.4,0.9445,0.51802,1.09615,0.96035,0.96803,0.97648,0.72627,1.02486,0.42189,1.11495,0.00307,0.00307,0.00307
142,8244.93,0.94147,0.51107,1.09075,0.96099,0.96655,0.97641,0.72638,1.02463,0.42196,1.11516,0.0030205,0.0030205,0.0030205
143,8301.56,0.93821,0.50614,1.08931,0.95997,0.96738,0.97599,0.72574,1.02407,0.42118,1.1149,0.002971,0.002971,0.002971
144,8358.13,0.92284,0.50702,1.08728,0.95788,0.96754,0.97575,0.72637,1.02319,0.42095,1.11451,0.0029215,0.0029215,0.0029215
145,8414.69,0.94327,0.5093,1.0966,0.95835,0.96754,0.97589,0.7265,1.02224,0.42083,1.11365,0.002872,0.002872,0.002872
146,8471.32,0.91413,0.49268,1.07783,0.95951,0.96744,0.97605,0.72679,1.02201,0.42014,1.11363,0.0028225,0.0028225,0.0028225
147,8527.9,0.92656,0.49938,1.08177,0.95921,0.96655,0.97606,0.72753,1.02169,0.41952,1.11325,0.002773,0.002773,0.002773
148,8584.5,0.91498,0.50075,1.08412,0.95947,0.96649,0.97568,0.72723,1.02079,0.41952,1.11278,0.0027235,0.0027235,0.0027235
149,8641.2,0.92194,0.50294,1.08225,0.95901,0.96679,0.97577,0.72737,1.02038,0.41943,1.11287,0.002674,0.002674,0.002674
150,8697.87,0.9163,0.49666,1.08442,0.95811,0.96754,0.97581,0.72765,1.02059,0.41927,1.11322,0.0026245,0.0026245,0.0026245
151,8754.46,0.92266,0.49834,1.0842,0.95905,0.96606,0.97623,0.72822,1.02043,0.41915,1.11296,0.002575,0.002575,0.002575
152,8811.06,0.9173,0.49391,1.07892,0.95919,0.96606,0.97594,0.72847,1.01998,0.41924,1.11278,0.0025255,0.0025255,0.0025255
153,8867.64,0.91626,0.49809,1.07586,0.95903,0.96606,0.97601,0.72846,1.01929,0.41927,1.11221,0.002476,0.002476,0.002476
154,8924.2,0.93178,0.50015,1.08426,0.96038,0.96754,0.97691,0.72883,1.01934,0.41937,1.11189,0.0024265,0.0024265,0.0024265
155,8980.88,0.91483,0.49678,1.07736,0.95984,0.96754,0.97696,0.72822,1.01908,0.41854,1.11193,0.002377,0.002377,0.002377
156,9037.45,0.91477,0.50016,1.07952,0.95951,0.96759,0.97705,0.72868,1.01859,0.41857,1.11166,0.0023275,0.0023275,0.0023275
157,9094.1,0.90612,0.49125,1.0768,0.95899,0.96617,0.97634,0.72858,1.0185,0.41804,1.11162,0.002278,0.002278,0.002278
158,9150.87,0.90924,0.48781,1.07575,0.95918,0.96655,0.97635,0.72871,1.01828,0.41829,1.11165,0.0022285,0.0022285,0.0022285
159,9207.5,0.90698,0.48541,1.07586,0.95901,0.9667,0.97635,0.72911,1.01816,0.41753,1.11178,0.002179,0.002179,0.002179
160,9264.03,0.90747,0.48857,1.06911,0.95882,0.96655,0.97703,0.72898,1.01786,0.41766,1.11192,0.0021295,0.0021295,0.0021295
161,9320.67,0.8967,0.48186,1.06777,0.95879,0.96655,0.97707,0.72896,1.01754,0.41762,1.11173,0.00208,0.00208,0.00208
162,9377.21,0.88954,0.483,1.07063,0.9592,0.96655,0.97689,0.72857,1.0175,0.41779,1.11165,0.0020305,0.0020305,0.0020305
163,9433.78,0.89172,0.47574,1.06357,0.95882,0.96655,0.9769,0.72842,1.01757,0.41709,1.11183,0.001981,0.001981,0.001981
164,9490.42,0.89984,0.48504,1.07315,0.95868,0.96655,0.97695,0.72856,1.01769,0.41648,1.11207,0.0019315,0.0019315,0.0019315
165,9546.97,0.88335,0.47514,1.06333,0.95867,0.96655,0.97691,0.72865,1.01767,0.41635,1.11251,0.001882,0.001882,0.001882
166,9603.49,0.88535,0.47568,1.05859,0.95854,0.96657,0.97693,0.72855,1.01735,0.4163,1.11216,0.0018325,0.0018325,0.0018325
167,9660.07,0.88739,0.47506,1.06444,0.95855,0.96694,0.97604,0.72844,1.0173,0.41662,1.11231,0.001783,0.001783,0.001783
168,9716.72,0.88365,0.47809,1.06623,0.95849,0.96704,0.97583,0.72826,1.01593,0.41699,1.11022,0.0017335,0.0017335,0.0017335
169,9773.34,0.88158,0.47306,1.06119,0.95829,0.96704,0.97588,0.72851,1.01625,0.41767,1.11067,0.001684,0.001684,0.001684
170,9829.89,0.87852,0.47029,1.06325,0.95829,0.96704,0.9759,0.72825,1.01627,0.41778,1.11102,0.0016345,0.0016345,0.0016345
171,9886.59,0.88162,0.47841,1.06424,0.95832,0.96704,0.9759,0.72793,1.01592,0.41741,1.11082,0.001585,0.001585,0.001585
172,9943.27,0.8707,0.46701,1.05947,0.95824,0.96754,0.9759,0.72808,1.01548,0.41702,1.11058,0.0015355,0.0015355,0.0015355
173,9999.81,0.8572,0.45887,1.05139,0.95881,0.96754,0.97598,0.72832,1.01532,0.41671,1.11052,0.001486,0.001486,0.001486
174,10056.4,0.88354,0.4699,1.06288,0.95886,0.96754,0.97607,0.72853,1.01536,0.41662,1.11066,0.0014365,0.0014365,0.0014365
175,10113.1,0.87108,0.46363,1.05383,0.95837,0.96704,0.97596,0.72886,1.01512,0.41638,1.11074,0.001387,0.001387,0.001387
176,10169.6,0.87077,0.46155,1.0556,0.95815,0.96754,0.97602,0.72875,1.01505,0.4162,1.11071,0.0013375,0.0013375,0.0013375
177,10226.2,0.86716,0.46089,1.05907,0.95725,0.96704,0.97588,0.72832,1.01457,0.41598,1.11064,0.001288,0.001288,0.001288
178,10282.8,0.86417,0.46027,1.04894,0.95722,0.96704,0.97586,0.72849,1.01426,0.41571,1.11041,0.0012385,0.0012385,0.0012385
179,10339.5,0.8514,0.44899,1.04996,0.95764,0.96704,0.97587,0.72878,1.01406,0.41565,1.11039,0.001189,0.001189,0.001189
180,10396.2,0.85253,0.45484,1.04789,0.95717,0.9674,0.97584,0.72897,1.01361,0.4157,1.11028,0.0011395,0.0011395,0.0011395
181,10452.8,0.84659,0.45393,1.04169,0.95763,0.96722,0.97583,0.7287,1.0134,0.41576,1.11045,0.00109,0.00109,0.00109
